oid,sid,time,mac
244,60,481,51
245,16,481,58
246,89,491,98
247,42,491,48
248,95,491,38
249,31,491,4
250,78,491,97
251,23,501,57
252,9,501,18
253,50,501,49
254,93,501,65
255,62,501,94
256,75,511,38
257,17,511,35
258,5,511,36
259,76,511,69
260,61,511,99
261,22,521,87
262,95,521,86
263,27,521,49
264,8,521,41
265,89,521,10
266,77,531,31
267,14,531,68
268,23,531,54
269,34,531,47
270,23,531,99
271,10,541,92
272,31,541,50
273,88,541,43
274,58,541,1
275,76,541,78
276,58,551,38
277,89,551,65
278,77,551,17
279,3,551,56
280,13,551,4
281,58,561,12
282,88,561,90
283,35,561,99
284,25,561,51
285,43,561,29
286,32,571,94
287,86,571,82
288,24,571,48
289,72,571,98
290,84,571,44
291,81,581,21
292,28,581,73
293,65,581,54
294,37,581,83
295,49,581,2
296,84,591,14
297,35,591,66
298,65,591,68
299,30,591,83
300,75,591,40
301,85,601,47
302,12,601,50
303,77,601,32
304,24,601,37
305,75,601,52
306,86,611,65
307,18,611,44
308,2,611,32
309,97,611,52
310,85,611,88
311,54,621,95
312,79,621,81
313,81,621,82
314,5,621,5
315,69,621,86
316,36,631,55
317,38,631,51
318,58,631,15
319,59,631,88
320,37,631,80
321,86,641,31
322,72,641,54
323,33,641,26
324,32,641,62
325,33,641,9
326,99,651,23
327,31,651,53
328,90,651,85
329,85,651,66
330,33,651,92
331,72,661,14
332,81,661,44
333,46,661,34
334,53,661,92
335,86,661,45
336,51,671,11
337,53,671,60
338,57,671,75
339,73,671,26
340,43,671,4
341,81,681,6
342,88,681,86
343,16,681,91
344,61,681,5
345,9,681,34
346,31,691,36
347,16,691,69
348,51,691,70
349,80,691,33
350,58,691,1
351,39,701,63
352,90,701,71
353,20,701,88
354,51,701,91
355,12,701,22
356,58,711,98
357,62,711,49
358,100,711,38
359,48,711,60
360,11,711,85
361,36,721,41
362,66,721,87
363,62,721,53
364,53,721,56
365,68,721,76
366,5,731,41
367,19,731,35
368,67,731,80
369,86,731,51
370,14,731,3
371,74,741,63
372,5,741,80
373,24,741,45
374,81,741,34
375,91,741,56
376,13,751,50
377,56,751,89
378,9,751,28
379,31,751,51
380,60,751,74
381,7,761,60
382,19,761,35
383,76,761,97
384,85,761,26
385,47,761,82
386,9,771,68
387,64,771,91
388,70,771,64
389,64,771,12
390,36,771,16
391,69,781,40
392,81,781,91
393,92,781,13
394,15,781,92
395,26,781,6
396,47,791,43
397,80,791,76
398,19,791,52
399,39,791,19
400,54,791,65
401,20,801,13
402,75,801,89
403,75,801,61
404,26,801,70
405,9,801,43
406,11,811,50
407,43,811,79
408,87,811,19
409,60,811,68
410,97,811,77
411,92,821,87
412,7,821,51
413,94,821,45
414,32,821,26
415,21,821,52
416,93,831,51
417,22,831,58
418,60,831,92
419,5,831,81
420,31,831,96
421,72,841,25
422,8,841,15
423,16,841,28
424,9,841,30
425,71,841,36
426,95,851,24
427,75,851,89
428,68,851,88
429,74,851,90
430,76,851,62
431,17,861,27
432,48,861,15
433,4,861,78
434,93,861,50
435,99,861,17
436,9,871,41
437,79,871,31
438,14,871,38
439,74,871,66
440,80,871,79
441,54,881,69
442,76,881,37
443,77,881,25
444,88,881,11
445,47,881,83
446,52,891,70
447,82,891,69
448,59,891,32
449,21,891,1
450,26,891,41
451,27,901,74
452,73,901,24
453,24,901,3
454,13,901,58
455,43,901,64
456,95,911,90
457,1,911,6
458,49,911,91
459,12,911,67
460,23,911,78
461,93,921,67
462,9,921,34
463,72,921,70
464,79,921,16
465,67,921,95
466,74,931,21
467,41,931,2
468,89,931,4
469,44,931,16
470,95,931,14
471,13,941,99
472,57,941,85
473,59,941,28
474,8,941,21
475,65,941,31
476,17,951,91
477,47,951,84
478,76,951,7
479,26,951,37
480,9,951,5
481,26,961,38
482,90,961,4
483,75,961,62
484,56,961,41
485,27,961,84
486,60,971,92
487,58,971,49
488,87,971,25
489,56,971,82
490,51,971,41
491,69,981,56
492,13,981,1
493,75,981,76
494,92,981,4
495,7,981,78
496,11,991,20
497,5,991,4
498,6,991,76
499,46,991,53
500,99,991,12
501,45,1001,95
502,94,1001,54
503,30,1001,63
504,52,1001,94
505,29,1001,21
506,17,1011,32
507,93,1011,25
508,39,1011,9
509,16,1011,80
510,99,1011,20
511,68,1021,3
512,46,1021,37
513,37,1021,51
514,74,1021,69
515,13,1021,31
516,10,1031,95
517,17,1031,26
518,16,1031,87
519,7,1031,78
520,9,1031,16
521,60,1041,54
522,30,1041,20
523,20,1041,39
524,1,1041,8
525,87,1041,43
526,67,1051,53
527,24,1051,19
528,72,1051,15
529,66,1051,60
530,17,1051,57
531,87,1061,34
532,17,1061,53
533,71,1061,98
534,35,1061,89
535,46,1061,43
536,51,1071,96
537,84,1071,48
538,75,1071,72
539,61,1071,11
540,79,1071,61
541,90,1081,77
542,33,1081,96
543,51,1081,59
544,86,1081,3
545,74,1081,74
546,2,1091,92
547,7,1091,36
548,24,1091,98
549,31,1091,49
550,35,1091,69
551,2,1101,41
552,24,1101,67
553,50,1101,79
554,55,1101,4
555,25,1101,71
556,35,1111,25
557,55,1111,14
558,5,1111,76
559,1,1111,90
560,45,1111,38
561,37,1121,31
562,46,1121,87
563,16,1121,96
564,17,1121,62
565,27,1121,72
566,37,1131,45
567,95,1131,22
568,26,1131,20
569,91,1131,47
570,96,1131,1
571,39,1141,76
572,23,1141,28
573,98,1141,56
574,89,1141,70
575,3,1141,67
576,19,1151,87
577,19,1151,7
578,46,1151,47
579,4,1151,83
580,65,1151,90
581,78,1161,59
582,18,1161,88
583,41,1161,30
584,81,1161,85
585,70,1161,10
586,19,1171,57
587,14,1171,73
588,83,1171,5
589,93,1171,45
590,5,1171,67
591,41,1181,54
592,90,1181,68
593,7,1181,48
594,25,1181,21
595,76,1181,71
596,96,1191,29
597,50,1191,13
598,3,1191,33
599,34,1191,31
600,85,1191,10
601,58,1201,48
602,23,1201,76
603,97,1201,84
604,43,1201,90
605,23,1201,73
606,4,1211,57
607,72,1211,65
608,53,1211,82
609,34,1211,14
610,84,1211,15
611,12,1221,55
612,56,1221,59
613,30,1221,96
614,54,1221,35
615,71,1221,21
616,63,1231,86
617,80,1231,99
618,53,1231,29
619,56,1231,43
620,26,1231,87
621,25,1241,31
622,74,1241,33
623,56,1241,48
624,66,1241,77
625,20,1241,24
626,99,1251,6
627,76,1251,97
628,93,1251,85
629,69,1251,56
630,61,1251,36
631,34,1261,39
632,7,1261,51
633,75,1261,84
634,75,1261,6
635,15,1261,63
636,56,1271,57
637,67,1271,4
638,57,1271,32
639,97,1271,26
640,29,1271,14
641,97,1281,90
642,82,1281,47
643,24,1281,61
644,39,1281,95
645,50,1281,9
646,64,1291,81
647,98,1291,99
648,72,1291,60
649,68,1291,70
650,60,1291,36
651,34,1301,44
652,56,1301,26
653,39,1301,17
654,60,1301,9
655,34,1301,68
656,84,1311,50
657,66,1311,89
658,84,1311,20
659,6,1311,74
660,9,1311,96
661,24,1321,70
662,80,1321,88
663,88,1321,14
664,67,1321,11
665,6,1321,55
666,97,1331,59
667,90,1331,34
668,87,1331,1
669,99,1331,67
670,55,1331,93
671,29,1341,58
672,33,1341,70
673,95,1341,92
674,2,1341,56
675,55,1341,46
676,18,1351,82
677,27,1351,21
678,70,1351,91
679,42,1351,35
680,84,1351,53
681,50,1361,29
682,10,1361,24
683,69,1361,96
684,48,1361,59
685,6,1361,81
686,19,1371,24
687,16,1371,20
688,94,1371,89
689,22,1371,42
690,86,1371,31
691,64,1381,69
692,79,1381,39
693,61,1381,76
694,59,1381,87
695,58,1381,6
696,82,1391,87
697,50,1391,12
698,81,1391,98
699,32,1391,70
700,76,1391,52
701,64,1401,65
702,93,1401,80
703,92,1401,31
704,49,1401,5
705,62,1401,49
706,8,1411,97
707,39,1411,11
708,67,1411,99
709,25,1411,76
710,5,1411,19
711,1,1421,93
712,15,1421,45
713,10,1421,46
714,45,1421,76
715,14,1421,41
716,56,1431,77
717,74,1431,52
718,100,1431,30
719,18,1431,66
720,14,1431,50
721,47,1441,38
722,20,1441,75
723,63,1441,98
724,19,1441,60
725,6,1441,95
726,11,1451,63
727,27,1451,47
728,19,1451,39
729,6,1451,78
730,1,1451,1
731,25,1461,68
732,22,1461,99
733,96,1461,42
734,19,1461,10
735,73,1461,83
736,100,1471,37
737,42,1471,43
738,17,1471,76
739,63,1471,84
740,91,1471,67
741,63,1481,28
742,48,1481,22
743,70,1481,1
744,73,1481,62
745,80,1481,30
746,4,1491,61
747,78,1491,42
748,75,1491,37
749,13,1491,38
750,71,1491,28
751,51,1501,18
752,54,1501,81
753,58,1501,45
754,23,1501,7
755,10,1501,75
756,54,1511,21
757,80,1511,8
758,73,1511,19
759,67,1511,28
760,93,1511,61
761,47,1521,79
762,97,1521,21
763,82,1521,43
764,21,1521,37
765,69,1521,34
766,43,1531,68
767,84,1531,27
768,43,1531,14
769,10,1531,79
770,82,1531,30
771,93,1541,11
772,31,1541,59
773,35,1541,47
774,61,1541,78
775,5,1541,66
776,88,1551,45
777,5,1551,85
778,98,1551,65
779,19,1551,67
780,39,1551,33
781,18,1561,99
782,96,1561,97
783,79,1561,73
784,77,1561,68
785,81,1561,53
786,47,1571,82
787,92,1571,23
788,26,1571,92
789,52,1571,66
790,8,1571,61
791,45,1581,4
792,26,1581,62
793,92,1581,39
794,79,1581,49
795,63,1581,55
796,1,1591,99
797,32,1591,65
798,32,1591,60
799,91,1591,6
800,41,1591,85
801,68,1601,47
802,38,1601,21
803,89,1601,88
804,72,1601,35
805,58,1601,97
806,35,1611,79
807,26,1611,19
808,52,1611,53
809,49,1611,81
810,19,1611,13
811,79,1621,35
812,21,1621,38
813,36,1621,31
814,7,1621,16
815,31,1621,81
816,14,1631,74
817,59,1631,26
818,61,1631,62
819,98,1631,3
820,50,1631,79
821,6,1641,46
822,58,1641,32
823,56,1641,98
824,72,1641,94
825,75,1641,27
826,52,1651,85
827,69,1651,86
828,28,1651,31
829,29,1651,94
830,56,1651,61
831,52,1661,9
832,45,1661,22
833,42,1661,72
834,68,1661,13
835,9,1661,52
836,42,1671,43
837,86,1671,61
838,66,1671,3
839,64,1671,60
840,12,1671,37
841,9,1681,3
842,98,1681,32
843,30,1681,2
844,72,1681,80
845,100,1681,77
846,96,1691,62
847,12,1691,49
848,98,1691,25
849,2,1691,87
850,11,1691,11
851,56,1701,11
852,68,1701,62
853,73,1701,33
854,79,1701,76
855,27,1701,70
856,84,1711,91
857,45,1711,98
858,35,1711,94
859,95,1711,96
860,95,1711,73
861,79,1721,43
862,99,1721,10
863,76,1721,46
864,17,1721,84
865,89,1721,21
866,34,1731,69
867,42,1731,90
868,89,1731,11
869,74,1731,1
870,60,1731,67
871,73,1741,95
872,83,1741,63
873,79,1741,42
874,99,1741,31
875,76,1741,29
876,84,1751,6
877,52,1751,71
878,65,1751,26
879,48,1751,52
880,4,1751,32
881,45,1761,99
882,42,1761,55
883,52,1761,29
884,17,1761,85
885,23,1761,33
886,56,1771,4
887,75,1771,18
888,47,1771,90
889,35,1771,81
890,15,1771,93
891,45,1781,98
892,67,1781,69
893,31,1781,50
894,32,1781,61
895,51,1781,65
896,24,1791,50
897,13,1791,20
898,67,1791,99
899,48,1791,3
900,49,1791,46
901,45,1801,44
902,25,1801,77
903,8,1801,11
904,99,1801,33
905,96,1801,22
906,57,1811,31
907,70,1811,72
908,72,1811,23
909,94,1811,27
910,75,1811,16
911,5,1821,73
912,32,1821,41
913,73,1821,38
914,30,1821,67
915,6,1821,1
916,12,1831,85
917,22,1831,62
918,32,1831,58
919,43,1831,41
920,100,1831,98
921,80,1841,48
922,91,1841,34
923,22,1841,9
924,54,1841,22
925,24,1841,12
926,57,1851,41
927,45,1851,75
928,80,1851,61
929,67,1851,54
930,62,1851,57
931,55,1861,58
932,26,1861,69
933,66,1861,37
934,96,1861,61
935,34,1861,97
936,40,1871,61
937,73,1871,1
938,7,1871,82
939,81,1871,44
940,45,1871,28
941,32,1881,81
942,79,1881,25
943,25,1881,29
944,80,1881,14
945,34,1881,5
946,6,1891,39
947,48,1891,46
948,35,1891,45
949,90,1891,67
950,5,1891,66
951,65,1901,96
952,32,1901,74
953,81,1901,21
954,28,1901,26
955,29,1901,59
956,70,1911,98
957,31,1911,99
958,85,1911,2
959,5,1911,75
960,6,1911,86
961,13,1921,43
962,75,1921,7
963,7,1921,55
964,97,1921,28
965,19,1921,90
966,87,1931,85
967,55,1931,39
968,1,1931,29
969,22,1931,96
970,45,1931,95
971,83,1941,18
972,53,1941,87
973,39,1941,57
974,83,1941,78
975,84,1941,31
976,51,1951,99
977,34,1951,32
978,90,1951,66
979,64,1951,19
980,10,1951,69
981,63,1961,69
982,30,1961,70
983,60,1961,9
984,86,1961,26
985,25,1961,7
986,46,1971,23
987,7,1971,12
988,34,1971,13
989,68,1971,94
990,75,1971,63
991,55,1981,54
992,99,1981,65
993,34,1981,71
994,88,1981,39
995,60,1981,84
996,32,1991,38
997,1,1991,53
998,45,1991,67
999,56,1991,24
1000,89,1991,99
1001,5,2001,6
1002,15,2001,32
1003,84,2001,64
1004,35,2001,4
1005,3,2001,51
1006,55,2011,90
1007,36,2011,75
1008,87,2011,10
1009,92,2011,5
1010,95,2011,88
1011,74,2021,94
1012,6,2021,22
1013,20,2021,79
1014,91,2021,27
1015,24,2021,10
1016,49,2031,77
1017,4,2031,65
1018,30,2031,16
1019,63,2031,68
1020,63,2031,58
1021,13,2041,76
1022,17,2041,15
1023,33,2041,80
1024,33,2041,43
1025,59,2041,74
1026,97,2051,31
1027,19,2051,49
1028,88,2051,39
1029,22,2051,56
1030,97,2051,91
1031,28,2061,31
1032,60,2061,95
1033,91,2061,50
1034,100,2061,49
1035,18,2061,42
1036,22,2071,70
1037,25,2071,97
1038,3,2071,66
1039,77,2071,45
1040,4,2071,15
1041,41,2081,45
1042,19,2081,4
1043,50,2081,1
1044,84,2081,12
1045,27,2081,96
1046,22,2091,85
1047,29,2091,12
1048,48,2091,15
1049,87,2091,88
1050,98,2091,94
1051,62,2101,5
1052,67,2101,4
1053,6,2101,89
1054,88,2101,62
1055,43,2101,21
1056,76,2111,90
1057,98,2111,73
1058,20,2111,14
1059,57,2111,99
1060,39,2111,10
1061,96,2121,81
1062,46,2121,55
1063,78,2121,77
1064,5,2121,32
1065,97,2121,51
1066,92,2131,31
1067,38,2131,4
1068,58,2131,62
1069,97,2131,24
1070,4,2131,67
1071,70,2141,99
1072,50,2141,68
1073,50,2141,38
1074,84,2141,98
1075,58,2141,57
1076,20,2151,11
1077,3,2151,38
1078,79,2151,83
1079,82,2151,52
1080,60,2151,33
1081,78,2161,16
1082,42,2161,13
1083,38,2161,94
1084,37,2161,69
1085,3,2161,34
1086,65,2171,2
1087,10,2171,13
1088,24,2171,14
1089,91,2171,73
1090,56,2171,1
1091,28,2181,34
1092,97,2181,47
1093,66,2181,44
1094,6,2181,29
1095,72,2181,30
1096,87,2191,19
1097,27,2191,50
1098,42,2191,87
1099,91,2191,4
1100,27,2191,25
1101,44,2201,43
1102,26,2201,56
1103,23,2201,42
1104,14,2201,76
1105,56,2201,20
1106,79,2211,23
1107,68,2211,40
1108,84,2211,28
1109,42,2211,64
1110,32,2211,19
1111,2,2221,99
1112,98,2221,33
1113,37,2221,50
1114,99,2221,46
1115,10,2221,9
1116,12,2231,39
1117,19,2231,54
1118,18,2231,89
1119,71,2231,44
1120,13,2231,42
1121,55,2241,85
1122,23,2241,16
1123,27,2241,1
1124,73,2241,92
1125,43,2241,15
1126,26,2251,77
1127,27,2251,79
1128,18,2251,19
1129,15,2251,80
1130,62,2251,43
1131,50,2261,59
1132,8,2261,92
1133,97,2261,27
1134,74,2261,53
1135,87,2261,68
1136,30,2271,75
1137,2,2271,72
1138,6,2271,31
1139,7,2271,91
1140,9,2271,52
1141,25,2281,10
1142,27,2281,96
1143,97,2281,52
1144,30,2281,6
1145,64,2281,35
1146,75,2291,30
1147,57,2291,18
1148,34,2291,51
1149,55,2291,96
1150,82,2291,7
1151,11,2301,34
1152,41,2301,84
1153,73,2301,77
1154,49,2301,92
1155,80,2301,83
1156,86,2311,15
1157,23,2311,56
1158,1,2311,51
1159,35,2311,34
1160,51,2311,66
1161,41,2321,18
1162,14,2321,32
1163,42,2321,87
1164,55,2321,78
1165,25,2321,70
1166,98,2331,21
1167,22,2331,6
1168,58,2331,35
1169,32,2331,63
1170,64,2331,79
1171,5,2341,48
1172,34,2341,99
1173,71,2341,37
1174,6,2341,4
1175,84,2341,75
1176,69,2351,76
1177,36,2351,37
1178,9,2351,95
1179,96,2351,28
1180,38,2351,12
1181,46,2361,26
1182,13,2361,64
1183,81,2361,19
1184,77,2361,3
1185,68,2361,17
1186,52,2371,57
1187,87,2371,19
1188,11,2371,83
1189,3,2371,35
1190,21,2371,65
1191,36,2381,9
1192,50,2381,49
1193,89,2381,44
1194,6,2381,32
1195,15,2381,28
1196,61,2391,22
1197,28,2391,2
1198,80,2391,9
1199,100,2391,98
1200,89,2391,56
1201,66,2401,52
1202,14,2401,67
1203,17,2401,83
1204,41,2401,68
1205,29,2401,29
1206,99,2411,1
1207,62,2411,27
1208,52,2411,62
1209,82,2411,67
1210,11,2411,29
1211,51,2421,97
1212,72,2421,20
1213,45,2421,79
1214,83,2421,89
1215,3,2421,84
1216,36,2431,93
1217,86,2431,45
1218,59,2431,72
1219,1,2431,62
1220,70,2431,25
1221,1,2441,10
1222,6,2441,76
1223,14,2441,86
1224,16,2441,33
1225,43,2441,17
1226,36,2451,59
1227,48,2451,24
1228,76,2451,29
1229,92,2451,56
1230,13,2451,6
1231,38,2461,56
1232,43,2461,80
1233,26,2461,66
1234,94,2461,41
1235,91,2461,5
1236,52,2471,25
1237,21,2471,22
1238,99,2471,5
1239,14,2471,12
1240,88,2471,61
1241,96,2481,56
1242,27,2481,35
1243,89,2481,20
1244,16,2481,41
1245,75,2481,21
1246,10,2491,19
1247,53,2491,1
1248,68,2491,3
1249,81,2491,84
1250,38,2491,66
1251,54,2501,34
1252,26,2501,71
1253,9,2501,54
1254,60,2501,2
1255,33,2501,17
1256,53,2511,46
1257,94,2511,69
1258,91,2511,24
1259,93,2511,41
1260,20,2511,53
1261,59,2521,21
1262,68,2521,13
1263,82,2521,32
1264,53,2521,14
1265,27,2521,53
1266,97,2531,15
1267,94,2531,86
1268,26,2531,29
1269,93,2531,62
1270,94,2531,28
1271,32,2541,34
1272,53,2541,48
1273,45,2541,23
1274,65,2541,50
1275,84,2541,22
1276,67,2551,44
1277,60,2551,8
1278,9,2551,50
1279,60,2551,3
1280,88,2551,80
1281,55,2561,55
1282,72,2561,64
1283,72,2561,28
1284,58,2561,23
1285,39,2561,67
1286,53,2571,42
1287,2,2571,92
1288,79,2571,9
1289,40,2571,3
1290,27,2571,99
1291,47,2581,17
1292,45,2581,43
1293,14,2581,83
1294,52,2581,11
1295,90,2581,56
1296,100,2591,71
1297,55,2591,13
1298,32,2591,44
1299,80,2591,24
1300,52,2591,73
1301,46,2601,42
1302,61,2601,37
1303,42,2601,59
1304,23,2601,14
1305,47,2601,77
1306,33,2611,19
1307,96,2611,90
1308,100,2611,53
1309,93,2611,76
1310,93,2611,43
1311,89,2621,66
1312,27,2621,39
1313,1,2621,84
1314,27,2621,87
1315,3,2621,27
1316,24,2631,80
1317,44,2631,24
1318,86,2631,55
1319,85,2631,84
1320,18,2631,35
1321,78,2641,10
1322,55,2641,81
1323,72,2641,35
1324,47,2641,63
1325,96,2641,3
1326,39,2651,32
1327,74,2651,45
1328,35,2651,95
1329,18,2651,16
1330,40,2651,24
1331,54,2661,77
1332,14,2661,43
1333,98,2661,7
1334,5,2661,28
1335,7,2661,58
1336,5,2671,7
1337,44,2671,62
1338,82,2671,28
1339,97,2671,30
1340,40,2671,11
1341,74,2681,94
1342,71,2681,74
1343,47,2681,17
1344,96,2681,36
1345,71,2681,58
1346,95,2691,21
1347,41,2691,88
1348,86,2691,71
1349,32,2691,64
1350,91,2691,42
1351,40,2701,56
1352,61,2701,89
1353,67,2701,15
1354,31,2701,83
1355,24,2701,47
1356,38,2711,29
1357,90,2711,32
1358,33,2711,13
1359,46,2711,75
1360,88,2711,18
1361,47,2721,30
1362,49,2721,97
1363,95,2721,2
1364,19,2721,29
1365,70,2721,51
1366,99,2731,38
1367,35,2731,78
1368,11,2731,12
1369,54,2731,11
1370,71,2731,90
1371,56,2741,83
1372,47,2741,35
1373,61,2741,15
1374,49,2741,98
1375,86,2741,18
1376,94,2751,35
1377,4,2751,92
1378,15,2751,75
1379,57,2751,3
1380,72,2751,61
1381,50,2761,89
1382,58,2761,39
1383,13,2761,49
1384,99,2761,75
1385,74,2761,14
1386,45,2771,10
1387,80,2771,1
1388,84,2771,85
1389,25,2771,46
1390,91,2771,15
1391,81,2781,72
1392,66,2781,22
1393,10,2781,35
1394,39,2781,24
1395,92,2781,74
1396,39,2791,17
1397,8,2791,73
1398,6,2791,28
1399,90,2791,48
1400,55,2791,93
1401,26,2801,45
1402,64,2801,34
1403,99,2801,25
1404,8,2801,76
1405,25,2801,46
1406,38,2811,23
1407,76,2811,50
1408,92,2811,26
1409,51,2811,40
1410,65,2811,76
1411,16,2821,68
1412,56,2821,20
1413,84,2821,76
1414,50,2821,79
1415,28,2821,42
1416,27,2831,87
1417,8,2831,15
1418,46,2831,86
1419,62,2831,44
1420,30,2831,14
1421,18,2841,57
1422,7,2841,93
1423,100,2841,71
1424,20,2841,20
1425,62,2841,77
1426,75,2851,19
1427,43,2851,65
1428,35,2851,40
1429,46,2851,66
1430,57,2851,56
1431,27,2861,45
1432,74,2861,57
1433,69,2861,8
1434,33,2861,60
1435,91,2861,12
1436,84,2871,79
1437,90,2871,80
1438,84,2871,14
1439,45,2871,12
1440,80,2871,41
1441,29,2881,13
1442,26,2881,11
1443,39,2881,71
1444,32,2881,32
1445,76,2881,34
1446,35,2891,39
1447,23,2891,95
1448,30,2891,74
1449,93,2891,9
1450,43,2891,63
1451,54,2901,58
1452,10,2901,46
1453,37,2901,17
1454,25,2901,96
1455,12,2901,69
1456,67,2911,12
1457,68,2911,89
1458,65,2911,79
1459,72,2911,70
1460,37,2911,84
1461,19,2921,92
1462,5,2921,94
1463,1,2921,47
1464,65,2921,14
1465,47,2921,69
1466,37,2931,63
1467,25,2931,95
1468,54,2931,35
1469,58,2931,42
1470,45,2931,55
1471,36,2941,38
1472,51,2941,32
1473,2,2941,1
1474,83,2941,91
1475,78,2941,69
1476,15,2951,23
1477,27,2951,34
1478,89,2951,40
1479,58,2951,24
1480,75,2951,18
1481,62,2961,49
1482,69,2961,40
1483,79,2961,31
1484,61,2961,83
1485,73,2961,15
1486,37,2971,95
1487,16,2971,40
1488,29,2971,35
1489,75,2971,5
1490,5,2971,24
1491,31,2981,55
1492,21,2981,89
1493,18,2981,94
1494,91,2981,41
1495,2,2981,29
1496,76,2991,88
1497,4,2991,82
1498,65,2991,89
1499,95,2991,24
1500,12,2991,73
1501,75,3001,16
1502,29,3001,8
1503,69,3001,49
1504,72,3001,57
1505,19,3001,18
1506,42,3011,88
1507,35,3011,17
1508,53,3011,67
1509,87,3011,44
1510,81,3011,5
1511,24,3021,28
1512,66,3021,69
1513,51,3021,52
1514,66,3021,71
1515,66,3021,75
1516,99,3031,7
1517,1,3031,97
1518,25,3031,54
1519,64,3031,5
1520,64,3031,34
1521,87,3041,17
1522,93,3041,1
1523,56,3041,70
1524,45,3041,49
1525,23,3041,78
1526,42,3051,69
1527,11,3051,43
1528,18,3051,12
1529,26,3051,8
1530,72,3051,29
1531,69,3061,29
1532,96,3061,59
1533,11,3061,60
1534,15,3061,63
1535,73,3061,92
1536,42,3071,26
1537,94,3071,85
1538,79,3071,51
1539,75,3071,55
1540,16,3071,14
1541,97,3081,68
1542,69,3081,41
1543,65,3081,30
1544,32,3081,78
1545,70,3081,57
1546,18,3091,23
1547,50,3091,29
