oid,sid,time,contact_mac
656,522,1311,90
657,515,1311,96
658,517,1311,19
659,553,1311,67
660,596,1311,87
661,600,1321,4
662,564,1321,53
663,551,1321,95
664,501,1321,62
665,502,1321,49
666,512,1331,44
667,511,1331,93
668,520,1331,36
669,535,1331,75
670,599,1331,53
671,583,1341,46
672,599,1341,8
673,564,1341,3
674,588,1341,85
675,545,1341,84
676,512,1351,24
677,519,1351,9
678,556,1351,86
679,556,1351,75
680,531,1351,11
681,577,1361,38
682,539,1361,62
683,596,1361,18
684,585,1361,99
685,525,1361,85
686,561,1371,48
687,560,1371,45
688,515,1371,37
689,533,1371,21
690,573,1371,62
691,552,1381,23
692,565,1381,57
693,553,1381,64
694,519,1381,5
695,514,1381,44
696,538,1391,30
697,576,1391,45
698,510,1391,93
699,505,1391,19
700,543,1391,81
701,545,1401,72
702,536,1401,76
703,571,1401,28
704,585,1401,88
705,546,1401,80
706,516,1411,42
707,563,1411,67
708,522,1411,4
709,591,1411,88
710,503,1411,56
711,522,1421,81
712,552,1421,45
713,527,1421,9
714,536,1421,67
715,562,1421,13
716,557,1431,76
717,547,1431,79
718,509,1431,24
719,514,1431,91
720,516,1431,25
721,599,1441,38
722,520,1441,25
723,536,1441,3
724,577,1441,29
725,528,1441,20
726,588,1451,75
727,551,1451,80
728,569,1451,33
729,576,1451,18
730,572,1451,77
731,565,1461,58
732,568,1461,55
733,511,1461,96
734,574,1461,23
735,512,1461,17
736,518,1471,21
737,577,1471,84
738,543,1471,98
739,553,1471,60
740,545,1471,3
741,564,1481,51
742,540,1481,65
743,505,1481,19
744,593,1481,18
745,520,1481,99
746,594,1491,14
747,504,1491,91
748,579,1491,52
749,538,1491,49
750,547,1491,55
751,581,1501,92
752,552,1501,65
753,568,1501,71
754,582,1501,96
755,563,1501,14
756,531,1511,28
757,520,1511,9
758,506,1511,97
759,530,1511,80
760,573,1511,91
761,514,1521,40
762,556,1521,18
763,539,1521,66
764,522,1521,6
765,510,1521,76
766,504,1531,10
767,531,1531,86
768,501,1531,13
769,536,1531,57
770,551,1531,37
771,506,1541,15
772,527,1541,30
773,537,1541,75
774,585,1541,84
775,560,1541,49
776,583,1551,91
777,531,1551,69
778,519,1551,71
779,600,1551,55
780,526,1551,57
781,523,1561,95
782,527,1561,14
783,509,1561,83
784,515,1561,99
785,548,1561,64
786,550,1571,11
787,599,1571,71
788,519,1571,43
789,567,1571,62
790,506,1571,46
791,573,1581,54
792,513,1581,23
793,589,1581,94
794,545,1581,84
795,600,1581,71
796,504,1591,49
797,558,1591,32
798,553,1591,15
799,519,1591,42
800,530,1591,6
801,567,1601,38
802,542,1601,77
803,560,1601,63
804,535,1601,30
805,521,1601,16
806,548,1611,97
807,530,1611,12
808,564,1611,24
809,565,1611,86
810,599,1611,11
811,551,1621,11
812,600,1621,56
813,540,1621,90
814,534,1621,91
815,588,1621,66
816,532,1631,65
817,550,1631,22
818,515,1631,17
819,520,1631,6
820,570,1631,96
821,577,1641,15
822,589,1641,33
823,522,1641,14
824,520,1641,95
825,567,1641,89
826,582,1651,53
827,534,1651,23
828,556,1651,98
829,522,1651,34
830,567,1651,27
831,593,1661,82
832,505,1661,93
833,519,1661,60
834,595,1661,13
835,546,1661,43
836,560,1671,51
837,535,1671,63
838,560,1671,30
839,542,1671,56
840,543,1671,14
841,596,1681,48
842,580,1681,30
843,575,1681,89
844,518,1681,84
845,507,1681,12
846,579,1691,99
847,515,1691,33
848,532,1691,24
849,557,1691,76
850,529,1691,54
851,551,1701,10
852,572,1701,93
853,595,1701,62
854,504,1701,27
855,587,1701,29
856,536,1711,41
857,526,1711,89
858,593,1711,56
859,571,1711,77
860,504,1711,93
861,555,1721,89
862,574,1721,88
863,541,1721,95
864,511,1721,50
865,505,1721,67
866,596,1731,1
867,533,1731,50
868,538,1731,35
869,536,1731,97
870,505,1731,91
871,547,1741,66
872,543,1741,65
873,529,1741,57
874,503,1741,75
875,540,1741,1
876,575,1751,24
877,564,1751,94
878,541,1751,77
879,573,1751,8
880,580,1751,50
881,516,1761,29
882,589,1761,84
883,535,1761,55
884,505,1761,69
885,519,1761,48
886,535,1771,68
887,585,1771,84
888,587,1771,64
889,554,1771,98
890,586,1771,83
891,544,1781,65
892,511,1781,39
893,522,1781,50
894,515,1781,26
895,527,1781,58
896,503,1791,47
897,583,1791,38
898,515,1791,62
899,533,1791,28
900,516,1791,4
901,539,1801,36
902,534,1801,75
903,519,1801,35
904,546,1801,97
905,544,1801,37
906,531,1811,90
907,539,1811,99
908,552,1811,40
909,567,1811,23
910,554,1811,26
911,520,1821,59
912,561,1821,40
913,558,1821,11
914,539,1821,50
915,593,1821,39
916,552,1831,68
917,519,1831,63
918,520,1831,1
919,508,1831,13
920,520,1831,85
921,575,1841,81
922,563,1841,29
923,503,1841,33
924,528,1841,16
925,516,1841,65
926,596,1851,96
927,596,1851,78
928,576,1851,26
929,527,1851,13
930,581,1851,3
931,520,1861,94
932,557,1861,72
933,503,1861,85
934,559,1861,56
935,576,1861,80
936,544,1871,30
937,541,1871,35
938,567,1871,57
939,523,1871,76
940,525,1871,64
941,541,1881,46
942,595,1881,14
943,577,1881,20
944,563,1881,69
945,562,1881,60
946,523,1891,78
947,533,1891,6
948,596,1891,5
949,549,1891,23
950,548,1891,18
951,526,1901,41
952,544,1901,14
953,594,1901,43
954,570,1901,31
955,535,1901,80
956,530,1911,33
957,510,1911,30
958,503,1911,82
959,562,1911,16
960,562,1911,54
961,556,1921,44
962,600,1921,2
963,545,1921,55
964,521,1921,28
965,567,1921,47
966,599,1931,58
967,569,1931,60
968,552,1931,23
969,560,1931,86
970,549,1931,18
971,583,1941,22
972,526,1941,74
973,518,1941,73
974,566,1941,38
975,529,1941,2
976,591,1951,57
977,543,1951,83
978,587,1951,15
979,512,1951,72
980,584,1951,66
981,564,1961,84
982,557,1961,49
983,521,1961,76
984,596,1961,43
985,588,1961,42
986,590,1971,70
987,502,1971,8
988,584,1971,32
989,580,1971,47
990,538,1971,3
991,547,1981,47
992,583,1981,67
993,522,1981,45
994,571,1981,11
995,541,1981,70
996,561,1991,25
997,518,1991,23
998,517,1991,1
999,583,1991,20
1000,571,1991,35
1001,585,2001,2
1002,570,2001,42
1003,561,2001,4
1004,519,2001,32
1005,506,2001,98
1006,577,2011,90
1007,512,2011,76
1008,587,2011,46
1009,586,2011,60
1010,554,2011,12
1011,550,2021,86
1012,533,2021,21
1013,598,2021,30
1014,521,2021,89
1015,590,2021,99
1016,583,2031,3
1017,590,2031,9
1018,598,2031,36
1019,508,2031,24
1020,574,2031,70
1021,560,2041,83
1022,566,2041,77
1023,526,2041,33
1024,586,2041,38
1025,578,2041,51
1026,520,2051,73
1027,550,2051,91
1028,576,2051,55
1029,506,2051,20
1030,512,2051,83
1031,520,2061,12
1032,575,2061,7
1033,599,2061,61
1034,514,2061,48
1035,540,2061,46
1036,579,2071,67
1037,518,2071,91
1038,568,2071,97
1039,506,2071,16
1040,579,2071,85
1041,523,2081,31
1042,552,2081,58
1043,542,2081,23
1044,589,2081,10
1045,599,2081,99
1046,538,2091,63
1047,526,2091,47
1048,564,2091,85
1049,532,2091,1
1050,593,2091,28
1051,562,2101,54
1052,559,2101,15
1053,533,2101,91
1054,512,2101,55
1055,582,2101,29
1056,546,2111,51
1057,579,2111,86
1058,531,2111,59
1059,547,2111,15
1060,516,2111,52
1061,560,2121,14
1062,531,2121,93
1063,583,2121,45
1064,571,2121,81
1065,528,2121,26
1066,574,2131,9
1067,562,2131,80
1068,533,2131,53
1069,556,2131,8
1070,540,2131,20
1071,568,2141,22
1072,573,2141,12
1073,518,2141,30
1074,583,2141,43
1075,542,2141,68
1076,540,2151,24
1077,572,2151,80
1078,591,2151,94
1079,531,2151,3
1080,524,2151,72
1081,585,2161,7
1082,586,2161,97
1083,586,2161,59
1084,506,2161,48
1085,549,2161,68
1086,549,2171,9
1087,589,2171,24
1088,592,2171,56
1089,513,2171,7
1090,506,2171,12
1091,599,2181,54
1092,557,2181,59
1093,509,2181,33
1094,506,2181,29
1095,521,2181,30
1096,520,2191,17
1097,512,2191,15
1098,559,2191,51
1099,506,2191,70
1100,563,2191,22
1101,536,2201,24
1102,516,2201,73
1103,524,2201,38
1104,539,2201,62
1105,521,2201,1
1106,549,2211,28
1107,551,2211,66
1108,585,2211,33
1109,527,2211,83
1110,546,2211,87
1111,530,2221,92
1112,585,2221,72
1113,527,2221,77
1114,536,2221,45
1115,517,2221,50
1116,512,2231,78
1117,594,2231,36
1118,573,2231,18
1119,511,2231,26
1120,534,2231,84
1121,586,2241,1
1122,561,2241,93
1123,573,2241,60
1124,592,2241,43
1125,513,2241,24
1126,555,2251,62
1127,548,2251,78
1128,569,2251,35
1129,509,2251,84
1130,552,2251,90
1131,562,2261,52
1132,566,2261,32
1133,527,2261,67
1134,549,2261,59
1135,519,2261,35
1136,566,2271,48
1137,561,2271,19
1138,572,2271,37
1139,588,2271,9
1140,559,2271,44
1141,567,2281,50
1142,543,2281,68
1143,598,2281,18
1144,556,2281,54
1145,522,2281,67
1146,524,2291,55
1147,533,2291,38
1148,538,2291,50
1149,580,2291,31
1150,537,2291,82
1151,548,2301,9
1152,564,2301,47
1153,523,2301,52
1154,584,2301,48
1155,600,2301,14
1156,556,2311,36
1157,556,2311,73
1158,571,2311,9
1159,510,2311,68
1160,520,2311,22
1161,557,2321,61
1162,518,2321,88
1163,550,2321,21
1164,530,2321,45
1165,592,2321,16
1166,541,2331,11
1167,542,2331,58
1168,556,2331,77
1169,524,2331,68
1170,509,2331,8
1171,550,2341,92
1172,523,2341,36
1173,599,2341,43
1174,585,2341,46
1175,560,2341,49
1176,523,2351,87
1177,577,2351,32
1178,549,2351,81
1179,581,2351,37
1180,522,2351,26
1181,515,2361,64
1182,507,2361,56
1183,553,2361,93
1184,553,2361,21
1185,573,2361,77
1186,524,2371,51
1187,574,2371,84
1188,565,2371,31
1189,548,2371,79
1190,588,2371,95
1191,516,2381,37
1192,584,2381,63
1193,582,2381,19
1194,586,2381,81
1195,549,2381,69
1196,595,2391,59
1197,573,2391,12
1198,516,2391,62
1199,586,2391,52
1200,549,2391,96
1201,533,2401,15
1202,530,2401,39
1203,522,2401,62
1204,508,2401,87
1205,515,2401,98
1206,562,2411,73
1207,533,2411,70
1208,506,2411,15
1209,519,2411,79
1210,545,2411,94
1211,574,2421,5
1212,552,2421,82
1213,521,2421,33
1214,518,2421,93
1215,549,2421,85
1216,512,2431,11
1217,516,2431,93
1218,558,2431,35
1219,572,2431,19
1220,551,2431,44
1221,530,2441,6
1222,600,2441,34
1223,573,2441,73
1224,509,2441,74
1225,550,2441,55
1226,577,2451,31
1227,551,2451,75
1228,538,2451,10
1229,581,2451,89
1230,581,2451,49
1231,536,2461,31
1232,583,2461,39
1233,543,2461,47
1234,509,2461,7
1235,578,2461,20
1236,591,2471,2
1237,531,2471,11
1238,579,2471,44
1239,566,2471,36
1240,503,2471,87
1241,544,2481,36
1242,523,2481,91
1243,592,2481,5
1244,503,2481,64
1245,567,2481,35
1246,501,2491,45
1247,527,2491,71
1248,540,2491,42
1249,570,2491,34
1250,516,2491,20
1251,501,2501,29
1252,595,2501,91
1253,598,2501,59
1254,579,2501,70
1255,541,2501,37
1256,548,2511,7
1257,567,2511,70
1258,512,2511,21
1259,587,2511,88
1260,562,2511,61
1261,548,2521,24
1262,514,2521,67
1263,551,2521,31
1264,530,2521,46
1265,513,2521,72
1266,593,2531,71
1267,514,2531,75
1268,515,2531,34
1269,570,2531,17
1270,596,2531,28
1271,515,2541,2
1272,540,2541,17
1273,564,2541,74
1274,570,2541,68
1275,572,2541,88
1276,572,2551,28
1277,528,2551,45
1278,572,2551,64
1279,521,2551,78
1280,503,2551,74
1281,526,2561,80
1282,531,2561,52
1283,513,2561,72
1284,510,2561,43
1285,564,2561,98
1286,566,2571,47
1287,529,2571,83
1288,564,2571,48
1289,508,2571,98
1290,547,2571,12
1291,547,2581,27
1292,525,2581,80
1293,502,2581,93
1294,583,2581,36
1295,536,2581,34
1296,516,2591,73
1297,561,2591,97
1298,595,2591,89
1299,572,2591,90
1300,553,2591,13
1301,544,2601,9
1302,555,2601,97
1303,511,2601,90
1304,518,2601,95
1305,587,2601,54
1306,535,2611,49
1307,535,2611,43
1308,587,2611,15
1309,518,2611,89
1310,593,2611,83
1311,525,2621,51
1312,559,2621,14
1313,553,2621,69
1314,505,2621,67
1315,590,2621,38
1316,519,2631,57
1317,532,2631,87
1318,535,2631,41
1319,544,2631,36
1320,597,2631,97
1321,564,2641,14
1322,536,2641,29
1323,572,2641,53
1324,576,2641,61
1325,563,2641,83
1326,501,2651,63
1327,581,2651,57
1328,542,2651,81
1329,577,2651,13
1330,527,2651,18
1331,510,2661,62
1332,507,2661,28
1333,552,2661,79
1334,508,2661,49
1335,509,2661,45
1336,549,2671,68
1337,531,2671,45
1338,551,2671,60
1339,585,2671,99
1340,542,2671,9
1341,559,2681,78
1342,594,2681,92
1343,562,2681,83
1344,546,2681,73
1345,504,2681,51
1346,582,2691,57
1347,518,2691,81
1348,572,2691,97
1349,577,2691,89
1350,538,2691,72
1351,531,2701,44
1352,594,2701,38
1353,549,2701,15
1354,540,2701,59
1355,510,2701,82
1356,524,2711,70
1357,581,2711,90
1358,544,2711,61
1359,534,2711,56
1360,546,2711,41
1361,539,2721,87
1362,584,2721,89
1363,556,2721,94
1364,586,2721,70
1365,518,2721,14
1366,569,2731,49
1367,524,2731,47
1368,561,2731,70
1369,593,2731,54
1370,575,2731,4
1371,553,2741,43
1372,561,2741,4
1373,571,2741,98
1374,520,2741,63
1375,594,2741,94
1376,562,2751,53
1377,552,2751,33
1378,503,2751,19
1379,520,2751,14
1380,512,2751,64
1381,589,2761,23
1382,513,2761,26
1383,511,2761,12
1384,588,2761,69
1385,598,2761,99
1386,510,2771,15
1387,516,2771,59
1388,573,2771,57
1389,558,2771,79
1390,536,2771,29
1391,598,2781,39
1392,575,2781,83
1393,523,2781,93
1394,584,2781,28
1395,505,2781,75
1396,537,2791,80
1397,574,2791,96
1398,544,2791,44
1399,556,2791,60
1400,544,2791,95
1401,567,2801,73
1402,596,2801,50
1403,536,2801,42
1404,536,2801,31
1405,540,2801,87
1406,526,2811,82
1407,591,2811,85
1408,570,2811,9
1409,557,2811,20
1410,573,2811,10
1411,531,2821,59
1412,562,2821,94
1413,515,2821,49
1414,515,2821,46
1415,583,2821,41
1416,589,2831,72
1417,520,2831,21
1418,541,2831,2
1419,529,2831,31
1420,545,2831,16
1421,505,2841,64
1422,544,2841,89
1423,558,2841,99
1424,599,2841,96
1425,578,2841,40
1426,560,2851,3
1427,524,2851,97
1428,577,2851,87
1429,591,2851,81
1430,540,2851,46
1431,594,2861,68
1432,513,2861,36
1433,543,2861,88
1434,559,2861,93
1435,569,2861,35
1436,551,2871,43
1437,502,2871,89
1438,516,2871,73
1439,551,2871,37
1440,598,2871,68
1441,584,2881,71
1442,517,2881,69
1443,596,2881,32
1444,567,2881,7
1445,595,2881,41
1446,517,2891,55
1447,573,2891,34
1448,585,2891,52
1449,598,2891,23
1450,593,2891,85
1451,561,2901,79
1452,513,2901,59
1453,598,2901,14
1454,544,2901,95
1455,580,2901,17
1456,549,2911,88
1457,558,2911,19
1458,540,2911,29
1459,546,2911,5
1460,566,2911,18
1461,589,2921,7
1462,599,2921,48
1463,517,2921,8
1464,599,2921,10
1465,526,2921,21
1466,544,2931,39
1467,592,2931,5
1468,514,2931,6
1469,513,2931,93
1470,558,2931,75
1471,593,2941,57
1472,532,2941,47
1473,562,2941,37
1474,502,2941,77
1475,583,2941,58
1476,507,2951,28
1477,583,2951,84
1478,567,2951,96
1479,559,2951,26
1480,546,2951,44
1481,564,2961,27
1482,544,2961,86
1483,574,2961,2
1484,503,2961,43
1485,513,2961,94
1486,570,2971,59
1487,542,2971,76
1488,548,2971,24
1489,550,2971,82
1490,531,2971,11
1491,507,2981,13
1492,512,2981,50
1493,600,2981,74
1494,535,2981,85
1495,540,2981,30
1496,530,2991,49
1497,507,2991,50
1498,572,2991,65
1499,550,2991,89
1500,598,2991,42
1501,521,3001,23
1502,534,3001,2
1503,586,3001,92
1504,536,3001,59
1505,503,3001,25
1506,596,3011,75
1507,514,3011,59
1508,506,3011,93
1509,555,3011,72
1510,549,3011,60
1511,537,3021,93
1512,506,3021,51
1513,573,3021,8
1514,503,3021,72
1515,549,3021,49
1516,541,3031,88
1517,570,3031,69
1518,587,3031,79
1519,507,3031,67
1520,542,3031,49
1521,591,3041,59
1522,579,3041,3
1523,508,3041,27
1524,573,3041,68
1525,526,3041,13
1526,594,3051,95
1527,563,3051,69
1528,510,3051,30
1529,532,3051,62
1530,566,3051,90
1531,533,3061,12
1532,576,3061,8
1533,555,3061,45
1534,518,3061,42
1535,538,3061,79
1536,546,3071,54
1537,570,3071,26
1538,575,3071,61
1539,549,3071,67
1540,528,3071,16
1541,541,3081,64
1542,592,3081,83
1543,503,3081,22
1544,510,3081,39
1545,544,3081,37
1546,589,3091,53
1547,521,3091,1
